VJGene	WAS9CD8TCM	WAS6CD8TCM	WAS4CD8TCM	WAS8CD8TCM	WAS4CD4TEM	WAS6CD4TEM	WAS8CD4TEM	WAS9CD4TEM
TRBV12-1|TRBJ1-4	0.0016	0.0033	0	0.0027	0.0049	0	0.0036	0.007
TRBV16|TRBJ1-5	0.0016	0	0.0016	0.0027	0	0	0.0009	0.0009
TRBV29|TRBJ2-4	0.0016	0.0025	0	0.0034	0.0018	0.005	0.0075	0.0032
TRBV29|TRBJ2-5	0.0016	0.0033	0.0032	0.0034	0.0043	0.005	0.0078	0.0058
TRBV29|TRBJ1-3	0.0016	0.0017	0	0.0007	0	0.005	0.003	0.0017
TRBV31|TRBJ1-6	0.0016	0.0017	0.0016	0.0013	0.0006	0	0.0003	0.0012
TRBV12-2|TRBJ2-4	0.0016	0.0008	0	0.0027	0.0173	0.015	0.018	0.0142
TRBV12-2|TRBJ2-2	0.0016	0.0008	0.0016	0.0013	0.0055	0.0025	0.0036	0.0078
TRBV2|TRBJ2-5	0.0016	0.0025	0.0081	0.004	0.0025	0.0025	0.0021	0.0009
TRBV17|TRBJ2-1	0.0016	0.0025	0.0032	0.0047	0.0049	0.0112	0.0084	0.0107
TRBV2|TRBJ1-3	0.0016	0.0008	0	0.0034	0.0012	0	0	0.0009
TRBV20|TRBJ1-4	0.0016	0.0017	0.0049	0.0007	0	0	0	0.0003
TRBV20|TRBJ2-1	0.0016	0.0025	0.0016	0.006	0.0012	0.0012	0.0015	0.0044
TRBV3|TRBJ1-4	0.0016	0.0008	0.0016	0.0034	0.0037	0	0.0027	0.0026
TRBV3|TRBJ1-5	0.0016	0.0008	0.0016	0.0013	0.0012	0.0012	0.0003	0.0009
TRBV3|TRBJ1-3	0.0016	0	0.0016	0.006	0.0043	0.005	0.0033	0.0032
TRBV13-2|TRBJ1-6	0.0016	0.01	0.0032	0.004	0.0025	0.0025	0.0021	0.0015
TRBV14|TRBJ2-3	0.0016	0	0.0016	0	0.0018	0.005	0.003	0.0032
TRBV14|TRBJ2-5	0.0016	0.0042	0	0.0007	0.0117	0.0075	0.0048	0.0049
TRBV14|TRBJ2-7	0.0016	0	0.0065	0.0007	0.0086	0.0062	0.0063	0.0078
TRBV26|TRBJ1-1	0.0016	0.0008	0.0032	0.0013	0.0006	0.0012	0.0009	0.0003
TRBV26|TRBJ1-6	0.0016	0	0	0.0007	0	0.0012	0.0009	0
TRBV23|TRBJ1-2	0.0016	0	0	0	0	0	0.0003	0
TRBV23|TRBJ2-1	0.0008	0	0.0016	0	0	0	0.0006	0.0003
TRBV12-2|TRBJ1-2	0.0008	0	0	0	0.0049	0.0087	0.0048	0.0049
TRBV12-1|TRBJ1-6	0.0008	0.0008	0.0016	0	0.0018	0	0.0006	0.0032
TRBV12-1|TRBJ1-2	0.0008	0.0008	0	0.004	0.0049	0.0037	0.0057	0.0078
TRBV16|TRBJ1-6	0.0008	0.0008	0.0016	0.002	0.0006	0.0012	0.0003	0.0003
TRBV1|TRBJ1-7	0.0008	0	0	0	0	0	0	0
TRBV1|TRBJ1-4	0.0008	0.01	0.0049	0.008	0.0037	0.0012	0.003	0.002
TRBV29|TRBJ1-6	0.0008	0	0.0032	0.0013	0.0012	0.0012	0.0006	0.0009
TRBV29|TRBJ1-5	0.0008	0.0042	0	0.002	0	0.0037	0.0003	0.0012
TRBV29|TRBJ1-1	0.0008	0.0008	0.0032	0.0013	0.0049	0.01	0.0045	0.0038
TRBV20|TRBJ2-3	0.0008	0.0033	0	0.0027	0.0006	0	0.0015	0.0006
TRBV5|TRBJ1-3	0.0008	0.0033	0.0016	0.0027	0.0037	0.0012	0.0003	0.0009
TRBV2|TRBJ2-2	0.0008	0.0025	0.0016	0.0007	0.0012	0.0012	0.0009	0
TRBV14|TRBJ2-1	0.0008	0.0017	0.0032	0	0.0062	0.0112	0.0051	0.0044
TRBV16|TRBJ1-2	0.0008	0.0075	0.0032	0.0007	0.0037	0.0012	0.0036	0.0017
TRBV15|TRBJ1-4	0.0008	0.0008	0.0081	0.0027	0.0025	0.01	0.0015	0.002
TRBV3|TRBJ1-6	0.0008	0.0017	0	0	0.0006	0	0	0.0003
TRBV30|TRBJ2-3	0.0008	0	0	0	0	0	0	0
TRBV4|TRBJ2-2	0.0008	0.0025	0.0065	0.0013	0.0012	0.0012	0.0015	0.0009
TRBV5|TRBJ1-6	0.0008	0.0008	0.0016	0.004	0.0012	0.0012	0.0021	0.0006
TRBV26|TRBJ2-3	0.0008	0	0	0.0007	0.0006	0	0	0.0006
TRBV4|TRBJ1-5	0.0008	0.0025	0	0.0007	0.0018	0	0.0009	0.0015
TRBV17|TRBJ1-4	0.0008	0.0025	0	0.0034	0.0012	0.0012	0	0.0009
TRBV30|TRBJ1-4	0.0008	0	0	0	0.0006	0	0	0
TRBV17|TRBJ2-3	0.0008	0.0008	0	0.0034	0.0037	0.0125	0.0066	0.0046
TRBV14|TRBJ2-2	0.0008	0.0008	0	0.0007	0.0006	0	0.0012	0.0012
TRBV14|TRBJ1-4	0.0008	0.0008	0.0016	0.0013	0.0037	0.0025	0.0015	0.0029
TRBV26|TRBJ1-3	0.0008	0.0025	0	0.002	0.0006	0	0.0015	0.0012
TRBV30|TRBJ2-5	0.0008	0	0	0.0007	0.0006	0	0	0.0003
TRBV23|TRBJ1-3	0.0008	0	0	0	0	0	0	0
TRBV23|TRBJ2-2	0	0	0	0	0	0	0.0003	0
TRBV23|TRBJ2-3	0	0	0	0.004	0	0.0012	0	0.0009
TRBV23|TRBJ2-4	0	0.0025	0.0032	0	0	0	0	0
TRBV12-2|TRBJ1-6	0	0.0008	0.0016	0	0.0025	0.0012	0.0009	0.002
TRBV12-2|TRBJ1-5	0	0	0	0.002	0.0043	0.0025	0.0006	0.002
TRBV12-2|TRBJ1-3	0	0	0	0.002	0.0018	0.005	0.0054	0.0061
TRBV7-2|TRBJ1-3	0	0	0.0016	0	0	0	0	0
TRBV12-1|TRBJ1-5	0	0	0	0	0.0006	0.0025	0.0003	0
TRBV12-1|TRBJ1-1	0	0	0	0	0.0055	0.01	0.0081	0.0049
TRBV12-1|TRBJ1-3	0	0.0008	0.0016	0.0013	0.0031	0.005	0.0015	0.0046
TRBV21|TRBJ2-1	0	0	0	0	0.0006	0	0	0
TRBV9|TRBJ2-1	0	0	0	0	0	0	0.0003	0
TRBV21|TRBJ1-1	0	0	0	0	0	0	0	0.0003
TRBV4|TRBJ1-2	0	0.0017	0	0.002	0.0025	0.0012	0.0006	0.0012
TRBV1|TRBJ1-6	0	0.0042	0.0049	0.0047	0.0031	0	0.0006	0.0009
TRBV29|TRBJ1-2	0	0.0017	0.0016	0.0027	0.0031	0	0.0045	0.0038
TRBV24|TRBJ1-4	0	0	0.0016	0	0	0	0	0
TRBV24|TRBJ1-5	0	0	0	0.0007	0	0	0	0
TRBV18|TRBJ2-5	0	0	0	0	0	0	0.0003	0
TRBV31|TRBJ1-5	0	0.0017	0.0032	0.0013	0	0.0012	0.0009	0
TRBV27|TRBJ1-5	0	0	0	0	0	0.0012	0	0
TRBV17|TRBJ1-2	0	0.0008	0	0	0.0025	0	0	0.0009
TRBV17|TRBJ1-3	0	0	0.0016	0.0007	0.0006	0	0.0003	0.0006
TRBV17|TRBJ1-6	0	0.0008	0	0	0.0006	0	0	0.0006
TRBV17|TRBJ1-5	0	0	0	0	0.0018	0	0.0003	0.0003
