VDJGene	WAS9CD8TCM	WAS6CD8TCM	WAS4CD8TCM	WAS8CD8TCM	WAS4CD4TEM	WAS6CD4TEM	WAS8CD4TEM	WAS9CD4TEM
TRBV13-3|TRBD2|TRBJ2-5	0.0032	0.005	0.0016	0.004	0.0043	0.005	0.006	0.0064
TRBV5|TRBD1|TRBJ2-4	0.0032	0.0025	0.0032	0.0054	0	0	0.0006	0.0003
TRBV2|TRBD2|TRBJ2-7	0.0032	0.0042	0.0016	0.0027	0.0055	0.0025	0.0021	0.0035
TRBV5|TRBD1|TRBJ1-5	0.0032	0.0008	0	0.0013	0.0006	0.0012	0.0009	0.0015
TRBV3|TRBD1|TRBJ2-4	0.0032	0.0025	0.0032	0.002	0	0.0037	0.0021	0.0009
TRBV17|TRBD2|TRBJ2-5	0.0032	0.0017	0.0016	0.0013	0.0049	0.0037	0.0063	0.0058
TRBV16|TRBD2|TRBJ2-7	0.0032	0.0092	0.0032	0.0027	0.008	0.0087	0.0171	0.0139
TRBV16|TRBD1|TRBJ2-4	0.0032	0.01	0	0.0013	0.0012	0.0012	0.0024	0.0029
TRBV16|TRBD1|TRBJ2-7	0.0032	0.0008	0.0016	0.0027	0.0031	0.0075	0.0096	0.0046
TRBV16|TRBD1|TRBJ2-1	0.0032	0.0017	0	0.0007	0.0025	0.0087	0.0045	0.0029
TRBV16|TRBD1|TRBJ2-2	0.0032	0.0008	0.0032	0.002	0	0.0012	0.003	0.0015
TRBV16|TRBD1|TRBJ1-3	0.0032	0.005	0.0032	0.0034	0.0012	0.0025	0.0018	0.0015
TRBV26|TRBD2|TRBJ2-5	0.0032	0.0008	0	0.0007	0	0.0025	0.0003	0
TRBV12-2|TRBD1|TRBJ2-7	0.0032	0.0017	0.0016	0.0047	0.0049	0.0037	0.0108	0.0075
TRBV1|TRBD1|TRBJ1-2	0.0032	0.0008	0	0.0027	0.0006	0.0012	0.0003	0.0015
TRBV19|TRBD2|TRBJ2-4	0.0032	0	0.0016	0.0027	0.0031	0	0.0027	0.0029
TRBV26|TRBD1|TRBJ1-2	0.0032	0.0017	0.0049	0.0034	0	0	0.0003	0.0003
TRBV13-1|TRBD1|TRBJ1-5	0.0032	0.0033	0	0.002	0.0037	0.0012	0.0015	0.0012
TRBV13-1|TRBD1|TRBJ1-4	0.0032	0.0042	0.0049	0.004	0.0025	0.0025	0.0021	0.0038
TRBV13-1|TRBD1|TRBJ2-3	0.0032	0.0025	0	0.0047	0.0037	0.0012	0.0033	0.002
TRBV4|TRBD2|TRBJ2-4	0.0032	0.0067	0.0032	0.0027	0.0031	0.0012	0.0015	0.0026
TRBV2|TRBD1|TRBJ1-1	0.0032	0.0025	0	0.004	0.0012	0	0.0006	0.0009
TRBV31|TRBD1|TRBJ2-3	0.0024	0.0025	0.0032	0	0	0	0.0006	0.0003
TRBV31|TRBD1|TRBJ2-4	0.0024	0.0008	0	0.0007	0.0006	0.0025	0.0006	0
TRBV20|TRBD1|TRBJ1-3	0.0024	0.0033	0	0.0007	0	0	0	0.0012
TRBV20|TRBD1|TRBJ2-7	0.0024	0.0025	0.0049	0.0007	0.0043	0	0.0018	0.0015
TRBV20|TRBD1|TRBJ2-2	0.0024	0.0017	0.0016	0.0034	0	0	0.0003	0.0009
TRBV15|TRBD1|TRBJ1-3	0.0024	0.0017	0.0032	0.0027	0.0012	0.0025	0.0006	0.0015
TRBV15|TRBD1|TRBJ1-5	0.0024	0	0	0	0.0031	0.0025	0.0018	0.0009
TRBV31|TRBD1|TRBJ1-1	0.0024	0.0067	0.0032	0.0034	0.0006	0.0012	0.0027	0.0012
TRBV13-2|TRBD1|TRBJ2-3	0.0024	0	0.0016	0.0054	0.0012	0.0025	0.0033	0.0015
TRBV29|TRBD1|TRBJ2-3	0.0024	0.0008	0.0016	0.0027	0.0025	0.0025	0.0024	0.002
TRBV12-1|TRBD2|TRBJ2-7	0.0024	0	0.0081	0.006	0.0136	0.0112	0.021	0.0168
TRBV5|TRBD1|TRBJ2-3	0.0024	0.0033	0.0032	0.0034	0	0	0.0009	0.0006
TRBV5|TRBD1|TRBJ2-1	0.0024	0.0042	0	0.0013	0.0018	0.0012	0.0018	0.0026
TRBV2|TRBD2|TRBJ2-3	0.0024	0	0.0016	0.0034	0.0031	0.0025	0.0009	0.0009
TRBV2|TRBD2|TRBJ2-4	0.0024	0.0058	0	0.002	0.0012	0	0.0018	0.0006
TRBV5|TRBD1|TRBJ1-2	0.0024	0.0008	0	0.0013	0.0012	0	0.0012	0.0006
TRBV3|TRBD1|TRBJ2-2	0.0024	0.0017	0.0016	0.0027	0.0006	0	0.0012	0.0009
TRBV14|TRBD1|TRBJ1-1	0.0024	0.0042	0.0016	0.0034	0.0018	0.0012	0.003	0.0026
TRBV17|TRBD2|TRBJ2-7	0.0024	0.005	0	0.004	0.0086	0.0087	0.0042	0.0093
TRBV17|TRBD2|TRBJ2-2	0.0024	0	0	0.0013	0.0006	0.0012	0.0012	0.0009
